"Adolescent fertility rate (births per 1,000 women ages 15-19)",Cereal yield (kg per hectare),Urban population (% of total),GDP per capita (current US$),"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",Permanent cropland (% of land area),"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",Population density (people per sq. km of land area),Agricultural land (% of land area),Arable land (hectares per person),CO2 emissions from solid fuel consumption (kt),Arable land (% of land area),Merchandise trade (% of GDP),"Life expectancy at birth, total (years)",Year,CountryName,MeanLifeExpetancyOverall,MeanLifeExpetancyForYear,AboveAverageLifeExpectancyOverall,AboveAverageLifeExpectancyByYear
32.36329521611739,2739.154700054,20.6574612719805,244.661527011652,5.5968497909323,1.57753482444473,5.8027599147467015,84.0797135578196,40.5181272334153,0.118824891081819,1203078.51588131,9.98988604695109,31.287084953521102,65.0349232993801,1979,East Asia & Pacific (developing only),64.19356275253435,61.89320123442705,True,True
98.8634,1492.2779999999998,46.034,1823.7232295460294,29.1041804910418,3.2870972402832,4.79223839916983,28.07633289987,22.3594856234648,0.20327682237671305,0.0,5.7072677358763215,26.12949998624401,62.5069024390244,1979,Ecuador,64.19356275253435,61.89320123442705,False,True
122.548,3964.239,43.842,428.857624486168,18.6626876705478,0.14365362398915102,10.3880567450564,42.5151840875986,2.45818474056959,0.0544401057234414,1818.832,2.3145311165804396,31.277684433021196,57.641365853658506,1979,"Egypt, Arab Rep.",64.19356275253435,61.89320123442705,False,False
125.6578,1708.662,43.545,769.9104219232111,2.19562134482012,11.1003861003861,1.9975104468882598,217.121476833977,67.56756756756761,0.12447882826300699,0.0,27.027027027027,65.2550514849999,56.3726829268293,1979,El Salvador,64.19356275253435,61.89320123442705,False,False
60.2288,2017.729,37.619,1640.6704099111996,11.436118512081098,4.37876299945265,5.284333280879861,34.019759168035,15.599343185550099,0.14480138880620902,62.339,4.92610837438424,76.8439977000704,62.7176585365854,1979,Fiji,64.19356275253435,61.89320123442705,False,True
20.7672,2636.827,70.97,9339.17707570089,16.619966791199698,0.006566203749302339,22.7600324369343,15.642962671131695,8.42936406316688,0.5036004441002461,16479.498,7.87780294822548,50.722181089787,73.1553658536586,1979,Finland,64.19356275253435,61.89320123442705,True,True
25.171,4515.971,73.211,11170.4601663549,16.7819920811433,2.77774734004668,12.0404516666199,100.683011728267,58.1372839073281,0.315632369206833,125011.697,31.77881753067211,33.7267778083769,73.85121951219509,1979,France,64.19356275253435,61.89320123442705,True,True
209.3346,1554.412,52.337,4258.69814988249,19.4237914195873,0.6287111421585749,7.35106946149601,2.7614545736795097,19.9868048278806,0.40475360624219997,0.0,1.1177086971708001,78.5439195831073,54.1109512195122,1979,Gabon,64.19356275253435,61.89320123442705,False,False
208.08900000000003,1197.007,27.585,353.944937158432,9.871022325051367,0.39525691699604704,26.782573883702003,57.8216403162055,56.3241106719368,0.283685519221403,0.0,16.403162055336,96.25245019361459,45.5420243902439,1979,"Gambia, The",64.19356275253435,61.89320123442705,False,False
133.1788,844.1560000000002,30.938,381.03644863369794,28.331137225374498,7.471213852509449,17.7091928807669,46.368858222730104,52.737980135360786,0.180081643330297,3.667,8.3501801880988,45.95938418524001,51.9817804878049,1979,Ghana,64.19356275253435,61.89320123442705,False,False
47.6184,2635.844,68.87,5705.94927419931,8.1678136457445,7.7346780449961186,7.754951799950299,74.0749262994569,71.2257564003103,0.306757525823035,13556.899,22.7230411171451,24.776386276276398,73.3293658536585,1979,Greece,64.19356275253435,61.89320123442705,True,True
139.4542,1760.43,37.26300000000001,995.5445538842481,10.3245374827299,4.45128779395297,6.6758517951973895,64.7022396416573,28.144830160507606,0.180140108332136,0.0,11.655468458380001,39.772548321718,56.7905853658537,1979,Guatemala,64.19356275253435,61.89320123442705,False,False
112.4626,2651.879000000001,30.405,678.592308587818,2.95232340986488,0.0762001524003048,4.10027603924677,3.9709271018542003,8.712217424434849,0.614064376974121,0.0,2.43840487680975,115.050712615942,62.5572926829268,1979,Guyana,64.19356275253435,61.89320123442705,False,True
37.2648849456308,3463.9641202442103,71.8072537099683,7533.9174054512705,10.4539397745319,0.629563610626463,8.11706418976186,20.090834208990398,38.0320518561714,0.4566674650540379,3984677.96578172,11.171270298352802,32.2920448585893,72.21503306628159,1979,High income,64.19356275253435,61.89320123442705,True,True
143.7228,1000.205,34.309,639.0346588678799,2.0185799873225303,2.35052283492716,2.2366213900310696,31.4888104388238,29.1089462865314,0.424036332023286,0.0,13.3523996782554,69.2604945427603,58.832926829268295,1979,Honduras,64.19356275253435,61.89320123442705,False,False
